score,start,real_end,missing,refs,prox,in_csv,file
8800,1149760,1158488,8720,2,0,False,FUN_00118b40_0x118b40.cpp
4444,1679400,1683772,4364,2,0,False,FUN_0019a028_0x19a028.cpp
4160,2153968,2157972,4000,4,0,False,FUN_0020ddf0_0x20ddf0.cpp
2640,1282592,1285160,2560,2,0,False,FUN_00139220_0x139220.cpp
2528,1733504,1735960,2448,2,0,False,FUN_001a7380_0x1a7380.cpp
2032,1514120,1516076,1952,2,0,False,FUN_00171a88_0x171a88.cpp
1840,1104208,1105976,1760,2,0,False,FUN_0010d950_0x10d950.cpp
1760,2087264,2088952,1680,2,0,False,FUN_001fd960_0x1fd960.cpp
1752,2328720,2328760,32,43,0,True,FUN_00238890_0x238890.cpp
1744,1747392,1749064,1664,2,0,False,FUN_001aa9c0_0x1aa9c0.cpp
1740,1098512,1100176,1660,2,0,False,FUN_0010c310_0x10c310.cpp
1716,1639112,1640756,1636,2,0,False,FUN_001902c8_0x1902c8.cpp
1628,1703416,1704968,1548,2,0,False,FUN_0019fdf8_0x19fdf8.cpp
1588,1640760,1642272,1508,2,0,False,FUN_00190938_0x190938.cpp
1540,1108624,1110092,1460,2,0,False,FUN_0010ea90_0x10ea90.cpp
1504,1102776,1104208,1424,2,0,False,FUN_0010d3b8_0x10d3b8.cpp
1488,2377216,2377268,48,36,0,True,FUN_00244600_0x244600.cpp
1468,1113224,1114616,1388,2,0,False,FUN_0010fc88_0x10fc88.cpp
1464,1285160,1286552,1384,2,0,False,FUN_00139c28_0x139c28.cpp
1448,2503800,2505176,1368,2,0,False,FUN_00263478_0x263478.cpp
1436,1101416,1102776,1356,2,0,False,FUN_0010ce68_0x10ce68.cpp
1408,1094792,1096124,1328,2,0,False,FUN_0010b488_0x10b488.cpp
1396,2251592,2252916,1316,2,0,False,FUN_00225b48_0x225b48.cpp
1368,2183760,2185052,1288,2,0,False,FUN_00215250_0x215250.cpp
1316,1100176,1101416,1236,2,0,False,FUN_0010c990_0x10c990.cpp
1296,1184040,1185264,1216,2,0,False,FUN_00121128_0x121128.cpp
1176,1951272,1952372,1096,2,0,False,FUN_001dc628_0x1dc628.cpp
1104,1709568,1710600,1024,2,0,False,FUN_001a1600_0x1a1600.cpp
1092,1629576,1630592,1012,2,0,False,FUN_0018dd88_0x18dd88.cpp
1064,2453152,2454144,984,2,0,False,FUN_00256ea0_0x256ea0.cpp
1044,1692616,1693588,964,2,0,False,FUN_0019d3c8_0x19d3c8.cpp
1040,1628608,1629572,960,2,0,False,FUN_0018d9c0_0x18d9c0.cpp
1036,2452192,2453152,956,2,0,False,FUN_00256ae0_0x256ae0.cpp
1016,2706752,2707156,396,3,500,True,FUN_00294d40_0x294d40.cpp
1012,2334720,2335616,892,3,0,False,FUN_0023a000_0x23a000.cpp
1008,2206664,2207640,968,1,0,False,FUN_0021abc8_0x21abc8.cpp
992,1523512,1524432,912,2,0,False,FUN_00173f38_0x173f38.cpp
984,1448416,1449328,904,2,0,False,FUN_001619e0_0x1619e0.cpp
976,1717400,1718300,896,2,0,False,FUN_001a3498_0x1a3498.cpp
964,1075112,1076000,884,2,0,False,FUN_001067a8_0x1067a8.cpp
964,2034320,2035212,884,2,0,False,FUN_001f0a90_0x1f0a90.cpp
960,1695120,1696048,920,1,0,False,FUN_0019dd90_0x19dd90.cpp
960,1714952,1715836,880,2,0,False,FUN_001a2b08_0x1a2b08.cpp
952,1661656,1662416,752,5,0,False,FUN_00195ad8_0x195ad8.cpp
940,1267112,1267976,860,2,0,False,FUN_001355a8_0x1355a8.cpp
940,1670224,1671092,860,2,0,False,FUN_00197c50_0x197c50.cpp
940,2714192,2714520,320,3,500,True,FUN_00296a50_0x296a50.cpp
932,2423480,2424336,852,2,0,False,FUN_0024fab8_0x24fab8.cpp
932,2425632,2426488,852,2,0,False,FUN_00250320_0x250320.cpp
932,2429320,2430176,852,2,0,False,FUN_00251188_0x251188.cpp
928,2033464,2034320,848,2,0,False,FUN_001f0738_0x1f0738.cpp
924,1698960,1699768,804,3,0,False,FUN_0019ec90_0x19ec90.cpp
908,2468472,2469308,828,2,0,False,FUN_0025aa78_0x25aa78.cpp
896,1607752,1608576,816,2,0,False,FUN_00188848_0x188848.cpp
872,1166424,1167224,792,2,0,False,FUN_0011cc58_0x11cc58.cpp
872,1259424,1260224,792,2,0,False,FUN_001337a0_0x1337a0.cpp
868,1646064,1646860,788,2,0,False,FUN_00191df0_0x191df0.cpp
856,1669336,1670120,776,2,0,False,FUN_001978d8_0x1978d8.cpp
848,1387296,1388068,768,2,0,False,FUN_00152b20_0x152b20.cpp
848,2516544,2517320,768,2,0,False,FUN_00266640_0x266640.cpp
828,1294416,1295172,748,2,0,False,FUN_0013c050_0x13c050.cpp
808,1714216,1714948,728,2,0,False,FUN_001a2828_0x1a2828.cpp
804,2705808,2705956,144,4,500,True,FUN_00294990_0x294990.cpp
788,2727176,2727852,668,3,0,False,FUN_00299d08_0x299d08.cpp
