# Overrides manuais pra fix_truncated.py.
#
# Use isso quando o auto-detect (que para no primeiro `jr $ra`) erra
# porque a "função" real tem early-returns ou contém múltiplas
# sub-funções não-listadas no Ghidra. O ps2_recomp tem discovery
# automático ("Discovered N additional entry point(s)") que vai fatiar
# o range em entries menores quando o range total é fornecido.
#
# Formato: name,start,end
#   - name : ignorado (só pra leitura humana; o nome real vem do .cpp)
#   - start: hex (0x...) — endereço inicial da função no ELF
#   - end  : hex (0x...) — endereço pós-última instrução (exclusivo)
#
# O `fix_truncated.py` aplica isso DEPOIS do auto-detect, sobrescrevendo
# o real_end. Linhas começando com '#' são ignoradas.
#
# ----------------------------------------------------------------------
# Caso 1 — crt0 (entry @ 0x100008)
#
# Auto-detect achou jr $ra em 0x1001d0, mas o gap entre 0x1001d0 e
# 0x100db8 (próximo entry conhecido) contém código vivo, incluindo
# func_0x10047C (chamada 8192x no boot, evidência: ps2_missing.log).
# Estender o range faz o ps2_recomp descobrir esses sub-entries via
# o passo de "Discovered additional entry point(s)".
entry,0x100008,0x100db8
FUN_00296a50,0x296a50,0x296c48
# Bug P (2026-05-01) — FUN_002947c8: thread id=2, entry da thread principal pós-init IOP.
# Truncada a 1 instrução (addiu $sp,-0x80) — faltavam 452 bytes.
# Range real confirmado via mips_inspect.py --gap: jr $ra em 0x294984, epilogue 0x294988.
# Sem essa regen, thread 2 nunca executa: jogo fica em VBlank infinito após sid=35.
FUN_002947c8,0x2947c8,0x294990
# Bug Q (2026-05-01) — FUN_00294990: função imediatamente após FUN_002947c8.
# Truncada a 1 instrução (addiu $sp,-0x20) — faltavam ~0x9c bytes.
# Range real: jr $ra em 0x294a1c, delay slot 0x294a20, próxima função em 0x294a30.
# Chamada por sub_00297290 (bind loop) via j 0x294990, e por entry_2948a0, sub_002994A0.
# Contém GetThreadId (syscall -0x2f) + lógica de registro de thread pós-bind.
FUN_00294990,0x294990,0x294a30
